Table,Order,Field,Lark Type,Required,Nullable,Key role,Source path / metric,Definition,Time / zero / null semantics,Example,Relation / Options,Import note
RAW_Meta_Ads_Insights,6,source_ad_set_id,Text,No,Yes,Identity,adset_id,Ad Set ID,Null above adset level,,RAW_Meta_Ad_Sets,
RAW_Meta_Ads_Insights,7,source_ad_id,Text,No,Yes,Identity,ad_id,Ad ID,Null above ad level,,RAW_Meta_Ads,
RAW_Meta_Ads_Insights,8,date_start,Date,Yes,No,Source date,date_start,Meta reporting day start,Use account timezone,2026-07-20,,
RAW_Meta_Ads_Insights,9,date_stop,Date,Yes,No,Source date,date_stop,Meta reporting day stop,For time_increment=1 normally same day,2026-07-20,,
RAW_Meta_Ads_Insights,10,publisher_platform,Text,No,Yes,Breakdown,publisher_platform,Facebook/Instagram/etc. placement family,Null when no breakdown,,,
RAW_Meta_Ads_Insights,11,platform_position,Text,No,Yes,Breakdown,platform_position,Placement position,Preserve unknown values,,,
RAW_Meta_Ads_Insights,12,device_platform,Text,No,Yes,Breakdown,device_platform,Device platform,Null valid,,,
RAW_Meta_Ads_Insights,13,currency,Text,Yes,No,Money contract,account currency,ISO currency,Never mix currencies,THB,,
RAW_Meta_Ads_Insights,14,spend_decimal_raw,Text,No,Yes,Raw money,spend,Exact decimal string from API,0 is valid; convert safely to micros,0.00,,
RAW_Meta_Ads_Insights,15,impressions,Number,No,Yes,Metric,impressions,Delivered impressions,0 is valid,0,,
RAW_Meta_Ads_Insights,16,reach,Number,No,Yes,Metric,reach,Unique reach,0 is valid; null unsupported,0,,
RAW_Meta_Ads_Insights,17,clicks,Number,No,Yes,Metric,clicks,Meta clicks definition,0 is valid,0,,
RAW_Meta_Ads_Insights,18,inline_link_clicks,Number,No,Yes,Metric,inline_link_clicks,Inline link clicks,0 is valid,0,,
RAW_Meta_Ads_Insights,19,actions_json,LongText,No,Yes,Raw metric,actions,Action list by action_type,Empty/absent differs from 0,,,JSON
RAW_Meta_Ads_Insights,20,action_values_json,LongText,No,Yes,Raw metric,action_values,Action value list,Currency semantics require approval,,,JSON
RAW_Meta_Ads_Insights,21,conversions_json,LongText,No,Yes,Raw metric,conversions,Conversion list when requested,Do not collapse before approved mapping,,,JSON
RAW_Meta_Ads_Insights,22,conversion_values_json,LongText,No,Yes,Raw metric,conversion_values,Conversion value list,Do not collapse before approved mapping,,,JSON
RAW_Meta_Ads_Insights,23,attribution_setting,Text,No,Yes,Query/result context,attribution_setting/use_account_attribution_setting,Attribution contract,Audit exact setting,,,
RAW_Meta_Ads_Insights,24,fetched_at,DateTime,Yes,No,Audit,connector clock,Fetch instant UTC,Exact instant,,,
RAW_Meta_Ads_Insights,25,source_payload_json,LongText,Yes,No,Audit,insight row,Redacted full raw row,No token,,,JSON
RAW_Meta_Ads_Insights,26,sync_run_id,Text,Yes,No,Audit,runtime,Sync correlation,Never null,,MKT_Sync_Log,
